Contest,Dates,Sample,Pollster,Harris,Trump,Margin,Influence,cat
Georgia,9/15 - 9/18@@23634,975 LV@@975,Emerson College,48.2,50.3,R+ 2.1@@2.1,0.0959397,R
Georgia,9/16 - 9/18@@23635,835 LV@@835,TIPP Insights,47.7,47.95,R+ 0.3@@.3,0.0956359,R
Georgia,9/12 - 9/15@@23631,"1,098 LV@@1098",Trafalgar Group,44.5,46.2,R+ 1.7@@1.7,0.052528,R
Georgia,9/9 - 9/15@@23628,"1,000 LV@@1000",University of Georgia,44.4,46.9,R+ 2.5@@2.5,0.0497757,R
Georgia,9/16 - 9/19@@23635,"1,043 LV@@1043",Redfield & Wilton,46,48,R+ 2@@2,0.0482228,R
Georgia,9/9 - 9/18@@23628,"1,347 LV@@1347",Morning Consult,47.68,48.63,R+ 1@@1,0.0438552,R
Georgia,9/3 - 9/16@@23622,"1,081 LV@@1081",Focaldata,50,48.9,D+ 1.1@@-1.1,0.0350128,D
Georgia,9/4 - 9/8@@23623,969 LV@@969,Quinnipiac,45.5,49,R+ 3.5@@3.5,0.014514,R
Georgia,9/6 - 9/9@@23625,562 LV@@562,Redfield & Wilton,47,49,R+ 2@@2,0.0115747,R
Georgia,9/5 - 9/6@@23624,567 LV@@567,Florida Atlantic/Mainstreet,45,47,R+ 2@@2,0.0095789,R
Georgia,8/30 - 9/8@@23618,"1,405 LV@@1405",Morning Consult,48.39,47.51,D+ 0.9@@-.9,0.003369,D
Georgia,8/6 - 8/16@@23594,651 LV@@651,Focaldata,46.65,50.7,R+ 4@@4,0,R
Georgia,8/23 - 8/29@@23611,617 LV@@617,SSRS,48,47,D+ 1@@-1,0,D
Georgia,7/22 - 7/23@@23579,800 RV@@800,Emerson College,46.1,48.5,R+ 2.4@@2.4,0,R
Georgia,7/26 - 8/2@@23583,405 LV@@405,Benenson Strategy/GS Strategy,47,47,Even@@0,0,E
Georgia,7/9 - 7/18@@23566,"1,000 LV@@1000",University of Georgia,45.9,50.5,R+ 4.6@@4.6,0,R
Georgia,7/22 - 7/22@@23579,400 LV@@400,Landmark Communications,45.5,46.9,R+ 1.4@@1.4,0,R
Georgia,9/1 - 9/3@@23620,814 RV@@814,Patriot Polling,48.3,48.9,R+ 0.6@@.6,0,R
Georgia,7/14 - 7/15@@23571,312 LV@@312,Florida Atlantic/Mainstreet,41,47.5,R+ 6.5@@6.5,0,R
Georgia,8/23 - 9/3@@23611,920 LV@@920,YouGov,46,49,R+ 3@@3,0,R
Georgia,8/29 - 8/31@@23617,800 LV@@800,InsiderAdvantage,48.3,47.6,D+ 0.7@@-.7,0,D
Georgia,8/25 - 8/28@@23613,699 LV@@699,Redfield & Wilton,42,44,R+ 2@@2,0,R
Georgia,7/12 - 7/13@@23569,549 LV@@549,Florida Atlantic/Mainstreet,40.5,49,R+ 8.5@@8.5,0,R
Georgia,7/22 - 7/24@@23579,"1,180 LV@@1180",Redfield & Wilton,42,47,R+ 5@@5,0,R
Georgia,7/31 - 8/3@@23588,"1,128 LV@@1128",Redfield & Wilton,44,46,R+ 2@@2,0,R
Georgia,7/24 - 7/28@@23581,799 RV@@799,Morning Consult,46,46,Even@@0,0,E
Georgia,8/25 - 8/28@@23613,800 LV@@800,Emerson College,50.1,49,D+ 1.1@@-1.1,0,D
Georgia,8/23 - 8/26@@23611,"1,014 RV@@1014",Beacon Research/Shaw & Co.,49,47,D+ 2@@-2,0,D
Georgia,7/29 - 7/30@@23586,662 RV@@662,Public Policy Polling,48,47,D+ 1@@-1,0,D
Georgia,8/12 - 8/15@@23600,692 LV@@692,Redfield & Wilton,46,46,Even@@0,0,E
Georgia,7/15 - 7/16@@23572,800 LV@@800,InsiderAdvantage,36.7,47.1,R+ 10.4@@10.4,0,R
Georgia,7/29 - 7/30@@23586, LV@@0,Trafalgar Group/InsiderAdvantage,47,49,R+ 2@@2,0,R
Georgia,7/24 - 7/31@@23581,600 LV@@600,"Fabrizio, Lee/Impact Research",46,47,R+ 1@@1,0,R
Georgia,8/14 - 8/20@@23602,600 LV@@600,Spry Strategies,47.85,48.7,R+ 0.9@@.9,0,R
Georgia,8/23 - 8/26@@23611,737 LV@@737,Morning Consult,49,46.5,D+ 2.5@@-2.5,0,D
Georgia,8/9 - 8/14@@23597,661 LV@@661,NYT/Siena,45,48.5,R+ 3.5@@3.5,0,R
